,gr,ug,ugsp,irt,ski,cgp,cert,certc,mas
674,Female,B.Sc,Business Administration,Home interior design,Designing skills,0.396825397,1,Java,mba
681,Female,B.Tech,Automobile Engineering,Machine Learning,Python;SQL,0.507936508,1,Internship in innodatatics,Master of technology
682,Female,B.Tech,"Reporting, Anchoring, Tv Journalism, Advertising & Radio ",Software,"ML, Python, SQL, R",0.507936508,1,Internship in innodatatics,Masters in Computer Science
697,Female,B.Com,Commerce,Financial Analysis,"Communication Skills, Work under Pressure, Team work, Problem Solving skills",0.555555556,0,No,Masters in Business Administration
698,Male,B.Tech,Electrical and Electronics Engineering,Further Studies,NO,0.587301587,0,No,M.Tech ( Master of Technology )
705,Male,B.Sc,Computer Science Engineering,Teaching,C++,0.793650794,1,Pgdca,Masters in Mathematics
708,Male,B.Tech,Civil Engineering,Construction and development,"Creativity Skills, Risk Managing, Reporting, Reading, Subject Knowledge",0.666666667,0,No,Masters in civil engineering
710,Female,B.Tech,Sales & Marketing,Technology,"AI, ML, Python",0.619047619,0,No,Masters in Data Science
727,Male,B.Sc,Biological sciences ,Financial Analysis;Data analytics,Accounting Skills;Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Machine Learning skills,0.714285714,0,No,Master of Finance 
734,Male,B.Tech,Civil Engineering,"Financial Analysis, Research, Technology, Entrepreneurship","Active Listening, AI, ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Communication Skills, Leadership, Market Study, Team work, Tableau",0.746031746,1,Data visualization Using Tableau,mtech in structural engg
738,Male,B.Com,Accountancy,"Financial Analysis, Take risk for Profits, Trading, Entrepreneurship, Understand Human Behaviour","Accounting Skills, Gathering Informing, Business Knowledge, People Management, Communication Skills, Editing, Cost Accounting, Market Study, Team work, Excel, Logical Skills, Presentation Skills, Wealth Management, Problem Solving skills, Writing, Risk Managing, Reading, Sales, Subject Knowledge",0.53968254,0,I am doing internship in fundamental analysis,Masters in Business Administration
742,Female,B.Sc,Computer Science,Data scientist,Active Listening;Programming Language skills;Communication skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence;SQL;Medical knowledge,0.476190476,1,Data science and Artificial intelligence ,MSc computer science 
770,Female,B.Com,Marketing,News Coverage;Research;Social Justice;Technology;Understand human behaviour;Govt. Job;Digital marketing,Active Listening;Gathering Information;Artistic/Creative Skills;Communication skills;Negotiation skills;Medical knowledge,0.365079365,1,Research Analysts,Masters in Commerce
775,Female,B.Sc,Computer Science Engineering,"Sales/Marketing, Technology, Entrepreneurship, Understand Human Behaviour","Python, Java, SQL, Oracle, Programming, Logical Skills, C++, Writing, Sales",0.571428571,1,Ed spread courses ,Masters in Computer Applications
795,Male,BBA ,Accountancy,Financial Analysis,"Accounting Skills, Python, Analytic Thinking, Gathering Informing, Business Knowledge, Cost Accounting, Sales",0.825396825,1,CIMA,Masters in Accounting
824,Male,B.Tech,Electrical and Electronics Engineering,Data analytics,Analytical Skills;Editing;Python;MATLAB,0.444444444,1,Certificated course in Data Science with Python and R,masters in electrical engineering 
826,Male,BA,Economics,Web Designing;Data analytics;Web development,Programming Language skills;Analytical Skills;Python;Good communication skills,0.412698413,1,1 programming foundation- fundamental 2. Database 3. HTML 4. Full stack and front end,MA economic
831,Female,B.Sc,Computer Science Engineering,Technology,Teaching,0.523809524,0,No,MCA
833,Female,BA,BA in Home Science,Research;Social Justice;Understand human behaviour;Content Writing;Govt. Job;Home interior design;Gardening;Infrastructure;Social causes,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;People management;Communication skills;Leadership;Editing;Problem Solving skills;Risk management skills;Writing skills;C++;Presentation Skills;Content creation;Good communication skills,0.634920635,1,PGDCA,MSW (master's in social work) 
834,Female,BA,"English, ecoNAmics",Teaching,Teaching,0.396825397,1,Tally,MA in economics
836,Male,BCA,Python ,Research;Technology;Trading;Supply Chain Analysis;Web Designing;Data analytics;Retailer;Data scientist;Web development;All fields related to Data science.;Information Technology;Machine Learning;Excel,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Product knowledge;Problem Solving skills;C++;Python;SQL;Java;Cloud Computing;PHP;Programming Language C;Javascript,0.587301587,0,No,Masters in computer application 
838,Female,B.Sc,Mathematics,Data scientist,Critical Thinking;Gathering Information;Analytical Skills;Python;Artificial Intelligence;SQL,0.285714286,1,Data scientist,Masters in mathematics
843,Male,B.Com,Principal of business management,News Coverage;Research;Trading;Understand human behaviour;Content Writing;Data analytics;Game industry,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Leadership;Hospitality;HR,0.857142857,0,No,MBA
846,Male,BE,Electrical and Electronics Engineering,Further Studies,NO,0.714285714,0,No,M.Tech ( Master of Technology )
847,Male,B.Sc,Computer Science Engineering,Technology;Data analytics;Data scientist;All fields related to Data science.,Programming Language skills;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;C++;Python;SQL;Java;Good communication skills,0.253968254,0,No,Master in Computer Application
852,Female,B.Com,Accountancy,Financial Analysis,Accounting Skills,0.349206349,0,No,Masters in Banking & Financial Institutions
857,Male,BE,Automobile Engineering,"Technology, Racing ","Critical Thinking, People Management, Work under Pressure, Leadership, Team work, Observation Skills",0.507936508,1,Motorsports Engineering Crash Course ,Masters in Business Administration
859,Female,BA,English literature ,Govt. Job,Artistic/Creative Skills,0.444444444,0,No,Master in English Literature 
860,Female,B.Sc,Mathematics,Research;Web Designing;Data analytics;Govt. Job;Digital marketing;Data scientist;Web development;All fields related to Data science.;Information Technology;Machine Learning,Accounting Skills;Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;R;Python;Good communication skills;Programming Language C,0.698412698,1,Typewriting English Junior,M.Sc Mathematics
866,Male,B.E,Automobile Engineering,Social Justice,Team work,0.73015873,0,No,masters in Automobile engineering 
881,Male,B.Com,M.com(Management and marketing),Financial Analysis;Sales/Marketing;Govt. Job;Digital marketing,Critical Thinking;Gathering Information;Business Knowledge;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Sales;Social Media Marketing,0.476190476,0,No,mcom
890,Female,B.Com,Commerce,Entrepreneurship,"Leadership, Product Knowledge, Interpersonal Skills, Sales",0.825396825,0,not possible ,Masters in Accounting
900,Male,B.Tech,Chemical Engineering,"Financial Analysis, News Coverage, Research, Social Justice, Teaching, Technology, Understand Human Behaviour","Active Listening, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Business Knowledge, Java, SQL, Oracle, Programming, People Management, Communication Skills, Work under Pressure, Leadership, News Gathering, Editing, Product Knowledge, Creativity Skills, Excel, Interpersonal Skills, Presentation Skills, Wealth Management, Problem Solving skills, Mass Communication, Writing, Risk Managing, Designing Skills",0.571428571,1,"Nptel, Coursera",Masters in Data Analytics
901,Female,BMS,Sales & Marketing,Teaching,"Reading, Sales",0.634920635,0,No,Masters in Management
904,Female,Arts,Literature,"Research, Teaching","Critical Thinking, Communication Skills, Leadership, Team work, Writing",0.492063492,0,No,Masters in Arts & Literature
907,Female,B.Tech,Mechanical Engineering,News Coverage,"Communication Skills, Work under Pressure, Leadership, Team work, Excel, Problem Solving skills, Reading",0.555555556,1,Quality and control,Masters in Business Analytics
908,Female,BE,Computer Science Engineering,Research;Technology;Data analytics;Data scientist;All fields related to Data science.,Business Knowledge;Communication skills;Leadership;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;C++;Presentation Skills;R;Python;SQL;Cloud Computing;Good communication skills;AWS;Programming Language C,0.53968254,1,Professional course of data science and Artificial intelligence,Computer engineering 
910,Male,B.Tech,Mathematics,Data analytics;Market reserach;Industires;Product Life cycle Management;Sports Industry,Business Knowledge;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Sales;HR,0.555555556,0,No,Masters in mathematics
914,Male,BE,Mechanical Engineering,Research;Technology;Trading;Understand human behaviour;Supply Chain Analysis,Active Listening;Hardware skills;Critical Thinking;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;SQL,0.666666667,1,Data Science using python,Master of Business Administration (MBA)
919,Male,BCA,Computer Applications,Technology;Trading,Active Listening;Programming Language skills;Gathering Information,0.53968254,1,CEH,MCA IN CYBER SECURITY
920,Female,BA,English,Teaching,Active Listening;Good communication skills;Teaching,0.571428571,0,No,MA English
922,Female,B.Sc,Computer Science Engineering,Technology,Active Listening;Programming Language skills;Java,0.619047619,0,No,M.Sc CS
925,Male,BE,Automobile Engineering,Sales/Marketing,"Work under Pressure, Team work",0.46031746,0,No,Masters in Business Administration
929,Female,B.A,home science .,Understand human behaviour;Gardening ,Active Listening;Civil & Criminal Law,0.333333333,1,"Yoga bachelor degree, ccc.",M.a. home science
935,Male,B.Tech,Electrical and Electronics Engineering,Technology,"ML, Python",0.587301587,0,Pursuing data science,M.TECH EEE
940,Male,B.Tech,Electronics and Communication Engineering,"Research, Technology, Entrepreneurship","ML, Python, Critical Thinking, Analytic Thinking, SQL, Editing, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++, Reading",0.650793651,1,360 DigitMG,Masters in Data Science
942,Female,B.Tech,Electronics and Communication Engineering,"Financial Analysis, News Coverage, Research, Sales/Marketing, Technology, Entrepreneurship, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, SQL, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Editing, Creativity Skills, Market Study, Team work, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills, Sales",0.603174603,1,Marketing Management ,Masters in Business Administration
946,Male,B.Tech,Mechanical engineering ,Technology;Data analytics,Programming Language skills;Critical Thinking;Analytical Skills,0.603174603,1,Data science ,Production Engineering 
955,Male,B.Sc,Physics,Technology,"AI, Python, Editing, Problem Solving skills",0.698412698,0,Data Science,Masters in Computer Science
958,Male,TYB.COM,Commerce,Entrepreneurship,"Active Listening, Analytic Thinking, Business Knowledge, People Management, Communication Skills, Leadership, Product Knowledge, Creativity Skills, Market Study, Team work, Logical Skills, Presentation Skills, Writing, Observation Skills",0.575386863,0,No,Masters in Business Administration
968,Male,B.E,Automobile Engineering,"News Coverage, Research, Social Justice, Technology, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Artistic skills, Business Knowledge, People Management, Editing, Product Knowledge, Creativity Skills, Team work, Designing Skills",0.603174603,0,No,Masters in Business Administration
969,Male,Diploma,mechanical Engineering,Technology,Critical Thinking;People management;Leadership;Product knowledge;Problem Solving skills;SAP,0.396825397,1,Indians Skills industrial machinery ,masters in machanical engineering 
972,Female,B.Tech,Mechanical Engineering,Further Studies,NO,0.603174603,0,No,M.Tech ( Master of Technology )
975,Female,BMS,Sales & Marketing,"Research, Teaching, Technology, Entrepreneurship","Gathering Informing, Communication Skills, Editing, Presentation Skills, Observation Skills, Reading, Subject Knowledge",0.714285714,0,No,Masters in Commerce
988,Male,B.Com,Accountancy,"Financial Analysis, News Coverage, Research, Sales/Marketing, Trading, Entrepreneurship","Accounting Skills, Active Listening, Critical Thinking, Analytic Thinking, Gathering Informing, Business Knowledge, People Management, Communication Skills, Negotiation Skills, Leadership, Product Knowledge, Cost Accounting, Excel",0.714285714,1,Tally,Masters in Accounting
997,Male,BE,Civil Engineering ,Social Justice;Technology;Govt. Job;Construction;Construction Manegement;Urban Planning ,Critical Thinking;People management;Communication skills;Mass Communication;Leadership;Problem Solving skills;Risk management skills;Interpersonal skills;Hospitality;Good communication skills,0.650793651,0,No,M. Tech (Town & Country Planning)
999,Male,BBA,Marketing,Sales/Marketing;Data analytics;Digital marketing;Data scientist;Market reserach;Social media marketing;All fields related to Data science.;Machine Learning;Sports Industry;Excel,Active Listening;Critical Thinking;Business Knowledge;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Social Media Marketing;Interpersonal skills;C++;R;Python;SQL,0.396825397,1,"C,C++,Java,Digital Marketing,Adv.Excel",Master of Business Administration (MBA)
1005,Female,B.Tech,Computer Science Engineering,"Financial Analysis, News Coverage, Research, Sales/Marketing, Social Justice, Take risk for Profits, Teaching, Technology, Trading, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Accounting Skills, Active Listening, ML, Critical Thinking, Artistic skills, Java, Communication Skills, News Gathering, Product Knowledge",0.396825397,0,No,Masters in Business Administration
1006,Male,BCA,Office management,News Coverage;Web Designing;Data analytics;Govt. Job;Game industry;Digital marketing;Data scientist;Web development;Social media marketing;Information Technology,Accounting Skills;Hardware skills;Programming Language skills;Gathering Information;People management;Risk management skills;Writing skills;C++;Python;SQL;Java;Hospitality,0.396825397,1,BCA,Masters in COMPUTER SCIENCE
1012,Female,B.Sc,computer science,Teaching;Data analytics;Data scientist,Programming Language skills;Leadership;Problem Solving skills;SQL;PHP,0.349206349,0,No,masters in computer science
1013,Female,BE,Electronics and Communication Engineering,News Coverage;Social Justice;Teaching;Trading;Understand human body;Content Writing,"Hardware skills;Critical Thinking;Artistic/Creative Skills;Analytical Skills;People management;Civil & Criminal Law;Communication skills;Sales;Social Media Marketing;Linux;Proeficiency in Software like STAAD PRO, ETABS;MATLAB",0.412698413,1,Software Testing,Master in Techonology
1016,Female,B.Com,Marketing,Research;Technology;Trading;Understand human behaviour;Content Writing;Data analytics;Govt. Job;Digital marketing;Home interior design;Social media marketing;Gardening;Infrastructure;Information Technology,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Interpersonal skills,0.238095238,1,Digital marketing,MASTERS IN marketing
1019,Male,B.Sc,Computer Applications,Technology,"Business Knowledge, Communication Skills",0.650793651,0,No,Masters in Computer Applications
1022,Female,B.Sc,Microbiology genetics,Research,Subject Knowledge,0.968253968,1,Molecular biology techniques,Masters in Science
1024,Male,B.Com,Commerce,"Financial Analysis, Entrepreneurship",Accounting Skills,0.682539683,0,No,mcom
1026,Female,BCA,Computer Science Engineering,Govt. Job,Accounting Skills,0.476190476,0,No,Master of computer application
1042,Female,B.Sc,Computer Science ,Teaching;Game industry;All fields related to Data science.,Programming Language skills;Machine Learning skills;Python;SQL,0.476190476,1,iOS course,MCA
1062,Female,B.Pharm,Hospitality,Research,"Excel, Presentation Skills, Writing",0.571428571,1,PGDCA,Masters in Pharmacy
1063,Female,B.Sc,Chemistry,Research,"Civil & Criminal Law, Work under Pressure",0.714285714,0,Nothing ,Masters in Science
1073,Female,BA,Electronic and telecommunications ,Research;Social Justice;Teaching;Content Writing;Govt. Job;Home interior design,People management;Editing;Designing skills;Writing skills;Teaching,0.873015873,1,D.el.ed,Master in homesciemce
1074,Female,BA,Mechanical Engineering,Research;Social Justice;Teaching;Govt. Job;Social causes;Design,Active Listening;Leadership;Editing;Designing skills;Writing skills;Client management;Teaching,0.523809524,1,D.el.ed,Master in home science
1075,Male,BE,Computer Science Engineering,Data analytics;Data scientist;Machine Learning,Programming Language skills;Critical Thinking;Analytical Skills;Python,0.333333333,0,No,MBA
1076,Male,B.Tech,Accountancy,Research,"Critical Thinking, Analytic Thinking, Gathering Informing",0.571428571,0,No,Masters in Business Administration
1083,Female,B.Sc,Information Technology,Research,"ML, Python",0.682539683,1,Machine learning with python,Masters in Statistics
1087,Male,B.Com,Mechanical Engineering,Design ,"Editing, Designing Skills, Sales",0.571428571,0,No,Masters in Computer Science
1091,Male,BCA,Electrical and Electronics Engineering,Supply Chain Analysis;Data analytics,Programming Language skills;Analytical Skills;R;Python,0.46031746,1,Junior type writing,MCA
1094,Male,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python, C++, R, Linux",0.333333333,0,No,Masters in Data Science
1103,Male,B.Tech,Media Management,Sales/Marketing;Technology;Content Writing;Market reserach,Critical Thinking;Business Knowledge;Analytical Skills;Leadership;Writing skills;Python;Artificial Intelligence;SQL,0.53968254,0,No,MBA
1106,Female,B.Sc,Automobile Engineering,Data scientist;Web development;Machine Learning,Active Listening;Programming Language skills;Gathering Information;Python;SQL;Programming Language C,0.793650794,0,No,Masters in computer science
1109,Male,B.Tech,Civil Engineering,"Financial Analysis, Take risk for Profits, Technology, Entrepreneurship","Accounting Skills, Active Listening, Java, SQL, Programming, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Observation Skills, Reading",0.523809524,1,"Selenium,NDT ",Masters in Computer Applications
1119,Female,BBA,computer science Engineering,Understand human behaviour;Market reserach;Na,Hardware skills;Business Knowledge,0.396825397,0,No,Masters of business
1132,Female,B.Sc,Electrical engineering ,"Technology, Understand Human Behaviour","Java, Programming, C++, R",0.650793651,0,I didn't do,Masters in Computer Science
1133,Female,BA,Computer Science Engineering,Teaching;Govt. Job,Active Listening;Problem Solving skills;Teaching;Teaching experience,0.428571429,0,No,Masters in economics
1135,Male,BCA,Instrumentation,Design;Salesforce Admin,Critical Thinking;Mass Communication;Leadership;Editing;Designing skills;Cloud Computing;SAP;Salesforce Admin,0.603174603,0,Tally,Masters of computer applications
1142,Male,B.Sc,marketing,Web Designing,Programming Language skills;C++;Python;Java,0.507936508,1,Python in Masterclass Online Course ,MCA
1147,Female,BCA,Mechanical Engineering,Technology;Web Designing;Data analytics,Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;Artificial Intelligence;SQL,0.714285714,1,Data science and Artificial intelligence ,Master in computer applications 
1162,Male,BE,Mechanical Engineering,Entrepreneurship,"Critical Thinking, Analytic Thinking, Problem Solving skills",0.571428571,0,No,Masters in Business Administration
1168,Female,B.Sc,Commerce,Research,"Active Listening, Analytic Thinking, Gathering Informing, Work under Pressure, Team work, Excel, Logical Skills, Reporting",0.73015873,1,NPTEL Online Certification in Experimental Biotechnology,Masters in Science
1169,Female,B.Sc,Information TechNAlogy ,Research;Govt. Job,Medical knowledge,0.650793651,0,No,Masters in mathematics
1170,Female,B.Com,Statistics,Understand Human Behaviour,Accounting Skills,0.714285714,1,Bank coaching ,Masters in Business Administration
1174,Male,BE,computers,Data Analytics,"ML, Python, SQL",0.476190476,1,Machine learning Witth Python certified by IBM,Masters in Data Science
1176,Female,B.Sc,Statistics,Content Writing;Data analytics;Govt. Job;Data scientist;Gardening;Service;All fields related to Data science.,Active Listening;Artistic/Creative Skills;Communication skills;Sales;Python;Good communication skills;Teaching;Teaching experience,0.444444444,1,PGDCA,MASTER IN COMPUTER APPLICATIONS
1177,Female,B.Sc,Information Technology,Financial Analysis;Research;Data analytics;Data scientist,Programming Language skills;Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;R;Python;SQL,0.761904762,1,"Python for Data science,Data Analysis with python ",Masters in Statistics
1178,Female,B.Sc,Computer Science Engineering,Data Analyst ,"ML, Python, Analytic Thinking, SQL, Communication Skills, Tableau",0.761904762,1,"Python for Data science by IBM,Data Analysis using Python by IBM ",Masters in Statistics
1179,Male,B.Sc,Business Management ,Technology,"AI, Python, Java, SQL, Programming, Communication Skills, Leadership, Editing, Team work, Excel, Logical Skills, C++, Linux, Problem Solving skills",0.714285714,1,web and software engineering,Masters in Computer Applications
1185,Male,BBA,Commerce,Financial Analysis;Research;Sales/Marketing;Teaching;Trading;Understand human body;Web Designing;Data analytics;Digital marketing;Retailer;Web development;Gardening;Service;Infrastructure,Accounting Skills;Gathering Information;Finance related skills;Writing skills,0.650793651,0,No,MBA
1187,Male,B.Com,Computer Science Engineering,Financial Analysis,"Accounting Skills, Active Listening, Critical Thinking, Analytic Thinking, Java, Communication Skills, Cost Accounting, Excel",0.761904762,0,No,Masters in Business Administration
1191,Male,B.Sc,Computer Science Engineering,Technology,"SQL, Problem Solving skills",0.714285714,0,No,Masters in Computer Science
1193,Male,BE,Computer Science,"Financial Analysis, Technology","AI, Java, SQL, C++, R, Linux",0.349206349,0,No,Masters in Computer Applications
